time(s),intensity,nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),Pitch
0.026553,0.0005,3,634.928,605.795,1674.445,1085.523,3604.335,368.380,--undefined--,--undefined--,--undefined--
0.032803,0.0005,3,569.228,286.202,1663.848,615.007,3524.744,453.994,--undefined--,--undefined--,--undefined--
0.039053,0.0005,3,518.213,466.659,1632.957,722.308,3500.377,458.336,--undefined--,--undefined--,--undefined--
0.045303,0.0005,3,440.733,484.660,1524.611,732.934,3471.467,424.846,--undefined--,--undefined--,--undefined--
0.051553,0.0004,3,449.954,689.214,1989.238,1203.108,3469.189,414.549,--undefined--,--undefined--,--undefined--
0.057803,0.0004,3,542.351,837.097,2253.908,1423.490,3434.184,577.952,--undefined--,--undefined--,--undefined--
0.064053,0.0004,3,531.419,815.249,2074.515,1367.301,3544.964,432.000,--undefined--,--undefined--,--undefined--
0.070303,0.0003,3,700.049,689.492,2115.093,1161.725,3600.705,339.877,--undefined--,--undefined--,--undefined--
0.076553,0.0003,3,606.632,377.735,2078.846,1118.604,3613.743,585.861,--undefined--,--undefined--,--undefined--
0.082803,0.0003,3,688.675,532.189,2263.923,809.901,3622.055,413.816,--undefined--,--undefined--,--undefined--
0.089053,0.0003,3,651.559,870.343,1958.330,1379.468,3655.175,855.000,--undefined--,--undefined--,--undefined--
0.095303,0.0002,3,335.538,1404.473,1429.231,921.087,3451.668,940.787,--undefined--,--undefined--,--undefined--
0.101553,0.0002,3,515.324,1003.380,1664.762,886.715,3589.592,672.688,--undefined--,--undefined--,--undefined--
0.107803,0.0002,3,597.032,587.056,2042.639,850.061,3789.931,709.674,--undefined--,--undefined--,--undefined--
0.114053,0.0003,3,500.614,516.644,2060.813,954.549,3680.761,1203.024,--undefined--,--undefined--,--undefined--
0.120303,0.0004,3,740.330,874.217,2215.406,1282.497,3604.294,561.067,--undefined--,--undefined--,--undefined--
0.126553,0.0004,3,621.789,389.478,2232.161,757.354,3630.457,351.972,--undefined--,--undefined--,--undefined--
0.132803,0.0004,3,523.860,285.987,2207.370,719.944,3659.244,329.206,--undefined--,--undefined--,--undefined--
0.139053,0.0004,3,422.981,465.670,2233.473,771.680,3643.974,260.430,--undefined--,--undefined--,--undefined--
0.145303,0.0004,3,641.675,729.267,2354.663,932.968,3681.196,309.595,--undefined--,--undefined--,--undefined--
0.151553,0.0004,3,824.421,669.636,2560.501,546.693,3855.240,375.343,--undefined--,--undefined--,--undefined--
0.157803,0.0004,3,412.530,688.480,2521.487,916.263,3889.698,594.939,--undefined--,--undefined--,--undefined--
0.164053,0.0004,4,483.016,360.768,2132.188,859.833,3320.217,1018.727,4397.072,637.445,--undefined--
0.170303,0.0003,3,784.216,976.141,2414.649,1526.913,3662.496,739.993,--undefined--,--undefined--,--undefined--
0.176553,0.0003,3,581.377,739.749,2542.765,1126.538,3701.014,535.452,--undefined--,--undefined--,--undefined--
0.182803,0.0003,3,842.237,723.456,2612.927,971.755,3669.265,488.312,--undefined--,--undefined--,170.2718326099916
0.189053,0.0003,3,675.517,1104.493,2399.096,1247.444,3639.287,647.906,--undefined--,--undefined--,169.73773717444962
0.195303,0.0003,3,566.536,624.743,2362.326,909.768,3724.373,676.375,--undefined--,--undefined--,169.73773717444962
0.201553,0.0003,3,552.062,534.514,2264.573,677.701,3744.904,1004.234,--undefined--,--undefined--,161.91086896557508
0.207803,0.0003,4,587.290,414.700,2180.392,530.388,3726.049,1040.206,4564.464,2408.089,162.05228593238812
0.214053,0.0003,3,641.707,548.627,2361.631,530.360,3711.550,586.343,--undefined--,--undefined--,162.05228593238812
0.220303,0.0003,3,870.735,654.015,2397.690,749.911,3627.010,310.479,--undefined--,--undefined--,163.29274304149084
0.226553,0.0003,3,987.786,981.343,2096.427,1518.912,3599.466,293.131,--undefined--,--undefined--,163.29274304149084
0.232803,0.0003,3,523.626,1329.881,1892.314,885.629,3535.238,323.824,--undefined--,--undefined--,155.22795422165422
0.239053,0.0002,3,777.269,1473.549,1843.431,1060.298,3567.801,324.687,--undefined--,--undefined--,155.2642092098207
0.245303,0.0002,3,1084.567,979.044,2283.186,1277.326,3601.602,449.512,--undefined--,--undefined--,155.2642092098207
0.251553,0.0002,3,792.425,1192.612,2315.695,976.808,3634.100,715.590,--undefined--,--undefined--,--undefined--
0.257803,0.0002,3,889.636,784.588,2334.109,1005.493,3662.703,478.182,--undefined--,--undefined--,--undefined--
0.264053,0.0002,3,973.474,768.036,2189.683,1681.945,3576.410,454.865,--undefined--,--undefined--,--undefined--
0.270303,0.0002,3,643.038,696.938,1933.140,1204.645,3611.575,467.226,--undefined--,--undefined--,--undefined--
0.276553,0.0002,3,653.991,593.569,2058.961,816.922,3605.712,227.417,--undefined--,--undefined--,--undefined--
0.282803,0.0002,3,698.047,1084.773,2108.277,1127.953,3583.304,355.663,--undefined--,--undefined--,--undefined--
0.289053,0.0002,3,733.799,1343.277,2348.322,1103.225,3598.324,534.984,--undefined--,--undefined--,--undefined--
0.295303,0.0002,3,715.354,941.167,2707.953,574.346,3592.917,1400.115,--undefined--,--undefined--,--undefined--
0.301553,0.0002,3,849.019,925.231,2726.726,577.208,3965.121,1342.432,--undefined--,--undefined--,--undefined--
0.307803,0.0002,3,695.185,638.495,2500.210,912.620,3734.137,750.379,--undefined--,--undefined--,--undefined--
0.314053,0.0002,3,646.374,429.993,2451.402,714.027,3661.391,333.374,--undefined--,--undefined--,--undefined--
0.320303,0.0002,3,564.899,308.624,2452.914,679.378,3665.016,552.327,--undefined--,--undefined--,--undefined--
0.326553,0.0002,3,465.600,739.995,2084.834,1205.234,3566.935,547.546,--undefined--,--undefined--,--undefined--
0.332803,0.0002,3,1011.031,970.483,2351.031,814.570,3718.286,537.379,--undefined--,--undefined--,--undefined--
0.339053,0.0002,3,403.524,607.965,2174.813,772.305,3564.772,564.826,--undefined--,--undefined--,--undefined--
0.345303,0.0002,3,470.183,425.795,1992.466,585.379,3366.868,597.508,--undefined--,--undefined--,--undefined--
0.351553,0.0002,3,793.281,1193.473,2222.887,1123.380,3418.422,844.743,--undefined--,--undefined--,--undefined--
0.357803,0.0002,3,1000.243,999.363,2557.025,894.762,3672.959,1804.139,--undefined--,--undefined--,--undefined--
0.364053,0.0003,3,491.199,1497.436,2404.688,979.709,3673.252,1816.892,--undefined--,--undefined--,--undefined--
0.370303,0.0003,3,443.043,1218.801,2285.520,728.648,3551.006,904.249,--undefined--,--undefined--,--undefined--
0.376553,0.0003,3,347.015,1573.308,2408.110,882.922,3652.599,987.852,--undefined--,--undefined--,--undefined--
0.382803,0.0003,3,466.569,556.143,2405.992,606.893,3703.593,702.101,--undefined--,--undefined--,--undefined--
0.389053,0.0003,3,455.460,580.963,2519.174,471.393,3568.965,1027.599,--undefined--,--undefined--,--undefined--
